Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-04,INFOSYSTCH,EQ,15625.2,16800.0,16875.25,16253.0,16875.25,16855.9,16646.38,56186,93529374750000.0,,,
2000-01-05,INFOSYSTCH,EQ,16855.9,15701.0,16250.0,15507.45,15507.45,15507.45,15786.38,164605,259851640715000.0,,,
2011-06-29,INFY,EQ,2865.3,2868.0,2907.0,2868.0,2880.0,2881.75,2886.22,600094,173200504230000.0,30917.0,416948.0,0.6948000000000001
2011-06-30,INFY,EQ,2881.75,2886.05,2919.0,2881.5,2903.1,2910.45,2903.47,1417730,411633179690000.0,49762.0,933317.0,0.6583
2011-07-01,INFY,EQ,2910.45,2935.0,2969.95,2924.1,2928.0,2934.15,2942.6,800308,235498492680000.03,37163.0,503971.0,0.6297
2000-01-03,IOC,EQ,254.0,260.0,273.25,250.0,267.35,270.85,258.55,23700,612764750000.0,,,
2000-01-04,IOC,EQ,270.85,260.0,268.0,254.1,267.0,264.4,259.8,24400,633911250000.0,,,
2000-01-05,IOC,EQ,264.4,264.9,265.0,257.0,261.35,261.3,260.66,18900,492638250000.0,,,
2000-01-03,ITC,EQ,656.0,694.0,708.5,675.0,708.5,708.5,701.81,562715,39491742195000.0,,,
2000-01-04,ITC,EQ,708.5,714.0,729.0,694.3,710.65,712.35,714.16,712637,50893789485000.0,,,
2000-01-05,ITC,EQ,712.35,716.25,758.9,660.0,731.0,726.2,732.43,1382149,101232477810000.0,,,
2005-03-23,JSWSTL,EQ,10.0,455.0,458.5,383.6,386.9,390.15,419.86,2087710,87653754275000.0,,382057.0,0.183
2005-03-24,JSWSTL,EQ,390.15,392.85,398.5,357.5,371.8,369.2,372.01,1226479,45626375060000.0,,232172.0,0.1893
2005-03-28,JSWSTL,EQ,369.2,376.7,394.05,375.0,380.0,378.85,383.64,1235794,47410479745000.0,,263415.0,0.2132
2005-09-16,JSWSTEEL,EQ,296.5,300.0,317.45,298.2,315.0,314.55,309.11,906566,28023297930000.0,,646626.0,0.7133
2005-09-19,JSWSTEEL,EQ,314.55,315.0,322.95,313.5,317.45,315.55,317.98,377529,12004846695000.0,,192541.0,0.51
2005-09-20,JSWSTEEL,EQ,315.55,315.0,319.5,301.0,310.0,310.3,313.95,203635,6393156965000.0,,82460.0,0.4049
2000-01-03,KOTAKMAH,EQ,212.35,220.0,229.35,220.0,229.35,229.35,229.13,7086,162364030000.0,,,
2000-01-04,KOTAKMAH,EQ,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681,1798729060000.0002,,,
2000-01-05,KOTAKMAH,EQ,246.95,229.0,240.0,227.2,228.0,228.4,233.75,105799,2473093055000.0,,,
2003-04-21,KOTAKBANK,EQ,146.25,149.9,155.95,142.5,154.05,155.2,152.49,10046,153192625000.0,,7010.0,0.6978
2003-04-22,KOTAKBANK,EQ,155.2,155.3,155.3,148.4,148.5,149.0,151.0,5411,81705365000.0,,2943.0,0.5439
2003-04-23,KOTAKBANK,EQ,149.0,149.65,158.75,148.0,149.0,149.15,153.82,37304,573811420000.0,,10529.0,0.2822
2004-06-23,LT,EQ,2.0,500.0,745.0,150.0,638.0,635.95,627.71,2699293,169437184605000.0,,395612.0,0.1466
2004-06-24,LT,EQ,635.95,630.0,630.0,608.4,612.0,616.0,618.21,913575,56478019835000.0,,305751.0,0.3347
2004-06-25,LT,EQ,616.0,619.0,679.0,616.1,665.0,668.3,658.45,1637383,107813620084999.98,,217950.0,0.1331
2000-01-03,M&M,EQ,419.75,453.3,453.35,448.9,453.35,453.35,453.18,67195,3045173830000.0,,,
2000-01-04,M&M,EQ,453.35,489.6,489.65,489.6,489.65,489.65,489.65,37470,1834710050000.0,,,
